TradingDate,StrikePrice,CallPut,Volume,AVGPrice
2021-06-11,840,C,1,4.2
2021-06-11,850,C,6,4.01
2021-06-11,880,C,1,2.95
2021-06-11,900,C,4,2.5774999999999997
2021-06-11,960,C,8,1.9637499999999999
2021-06-11,970,C,1,1.64
2021-06-11,1000,C,7,1.4542857142857142
2021-06-11,1050,C,1,1.15
2021-06-11,200,P,2,0.33999999999999997
2021-06-11,300,P,2,1.325
2021-06-11,330,P,1,1.59
2021-06-11,340,P,1,1.85
2021-06-11,350,P,1,2.05
2021-06-11,360,P,2,2.305
2021-06-11,390,P,1,3.15
2021-06-11,410,P,3,3.98
2021-06-11,420,P,3,4.453333333333333
2021-06-11,430,P,3,5.449999999999999
2021-06-11,450,P,13,6.606153846153846
2021-06-11,460,P,7,7.558571428571428
2021-06-11,470,P,7,8.617142857142857
2021-06-11,480,P,5,10.23
2021-06-11,490,P,7,11.377142857142855
2021-06-11,500,P,18,13.175555555555555
2021-06-11,510,P,8,14.67625
2021-06-11,520,P,7,17.052857142857142
2021-06-11,530,P,9,19.685555555555553
2021-06-11,535,P,3,20.77333333333333
2021-06-11,540,P,10,22.637
2021-06-11,550,P,29,25.04758620689654
2021-06-11,555,P,5,26.702000000000005
2021-06-11,560,P,3,27.776666666666667
2021-06-11,565,P,1,29.54
2021-06-11,570,P,4,32.894999999999996
2021-06-11,575,P,1,35.15
2021-06-11,577.5,P,3,34.48
2021-06-11,580,P,4,36.72
2021-06-11,585,P,3,38.086666666666666
2021-06-11,587.5,P,2,40.21
2021-06-11,590,P,5,40.339999999999996
2021-06-11,595,P,5,42.510000000000005
2021-06-11,597.5,P,7,43.54571428571428
2021-06-11,600,P,15,45.532000000000004
2021-06-11,602.5,P,2,47.125
2021-06-11,605,P,3,49.00666666666666
2021-06-11,607.5,P,12,49.33083333333334
2021-06-11,610,P,3,48.879999999999995
2021-06-11,612.5,P,6,50.70333333333334
2021-06-11,615,P,2,51.8
2021-06-11,617.5,P,1,53.61
2021-06-11,622.5,P,4,55.1875
2021-06-11,625,P,2,57.285
2021-06-11,630,P,27,62.21407407407407
2021-06-11,645,P,1,73.27
2021-06-11,650,P,9,73.30666666666666
2021-06-11,655,P,2,78.47
2021-06-11,660,P,1,81.56
2021-06-11,665,P,2,84.05000000000001
2021-06-11,670,P,2,84.96000000000001
2021-06-11,720,P,2,126.54
2021-06-11,730,P,2,137.06
2021-06-11,1225,P,3,615.4833333333332
2021-06-14,400,C,2,218.89999999999998
2021-06-14,550,C,2,92.25
2021-06-14,560,C,2,83.735
2021-06-14,565,C,2,82.35
2021-06-14,570,C,3,77.74000000000001
2021-06-14,575,C,2,75.67
2021-06-14,595,C,2,59.975
2021-06-14,597.5,C,1,60.4
2021-06-14,600,C,13,56.93076923076924
2021-06-14,602.5,C,1,54.3
2021-06-14,605,C,4,55.785000000000004
2021-06-14,607.5,C,11,52.86727272727271
2021-06-14,610,C,29,51.71965517241378
2021-06-14,612.5,C,4,50.790000000000006
2021-06-14,615,C,16,49.01
2021-06-14,617.5,C,10,49.249
2021-06-14,620,C,35,47.537714285714294
2021-06-14,622.5,C,6,47.13833333333333
2021-06-14,625,C,9,45.2
2021-06-14,630,C,16,42.502500000000005
2021-06-14,635,C,16,39.928125
2021-06-14,640,C,22,38.99454545454546
2021-06-14,645,C,1,35.23
2021-06-14,650,C,43,34.572558139534884
2021-06-14,655,C,9,32.742222222222225
2021-06-14,660,C,9,30.193333333333335
2021-06-14,665,C,13,29.290000000000003
2021-06-14,670,C,11,27.759999999999994
2021-06-14,680,C,19,24.821052631578947
2021-06-14,690,C,11,21.80636363636364
2021-06-14,700,C,42,19.46880952380953
2021-06-14,710,C,4,16.8925
2021-06-14,720,C,13,15.036153846153846
2021-06-14,730,C,7,13.937142857142858
2021-06-14,740,C,9,12.375555555555556
2021-06-14,750,C,54,10.792222222222225
2021-06-14,760,C,11,9.572727272727274
2021-06-14,770,C,4,8.705
2021-06-14,780,C,3,7.6499999999999995
2021-06-14,800,C,38,6.222894736842104
2021-06-14,810,C,4,5.680000000000001
2021-06-14,820,C,4,5.225
2021-06-14,830,C,3,5.183333333333334
2021-06-14,840,C,1,4.4
2021-06-14,850,C,6,4.008333333333333
2021-06-14,870,C,2,3.11
2021-06-14,880,C,1,3.5
2021-06-14,900,C,5,2.7640000000000002
2021-06-14,910,C,3,2.4233333333333333
2021-06-14,960,C,1,1.77
2021-06-14,970,C,1,1.73
2021-06-14,1000,C,4,1.5474999999999999
2021-06-14,1100,C,2,1.0150000000000001
2021-06-14,1125,C,1,1.01
2021-06-14,1200,C,6,0.6633333333333332
2021-06-14,1225,C,8,0.7062499999999999
2021-06-14,150,P,1,0.25
2021-06-14,200,P,1,0.45
2021-06-14,250,P,1,0.57
2021-06-14,300,P,6,0.9966666666666666
2021-06-14,310,P,1,1.04
2021-06-14,340,P,3,1.75
2021-06-14,350,P,5,1.672
2021-06-14,370,P,1,2.14
2021-06-14,380,P,1,2.38
2021-06-14,390,P,1,2.59
2021-06-14,400,P,2,2.925
2021-06-14,410,P,6,3.3400000000000003
2021-06-14,430,P,1,4.19
2021-06-14,440,P,4,4.5925
2021-06-14,450,P,15,5.4399999999999995
2021-06-14,460,P,15,6.120000000000002
2021-06-14,470,P,6,7.06
2021-06-14,480,P,6,8.104999999999999
2021-06-14,490,P,7,9.185714285714285
2021-06-14,500,P,49,10.646122448979597
2021-06-14,510,P,16,12.284999999999998
2021-06-14,520,P,16,14.093124999999997
2021-06-14,530,P,17,16.07470588235294
2021-06-14,535,P,5,17.214000000000002
2021-06-14,540,P,30,18.412000000000003
2021-06-14,545,P,8,19.488750000000003
2021-06-14,550,P,19,21.19105263157895
2021-06-14,555,P,9,22.291111111111107
2021-06-14,560,P,8,24.2625
2021-06-14,565,P,11,25.904545454545453
2021-06-14,570,P,6,27.10833333333333
2021-06-14,575,P,7,29.631428571428568
2021-06-14,577.5,P,4,29.134999999999998
2021-06-14,580,P,5,31.774000000000008
2021-06-14,585,P,2,32.46
2021-06-14,587.5,P,4,33.0975
2021-06-14,590,P,6,35.33
2021-06-14,595,P,3,36.556666666666665
2021-06-14,597.5,P,9,37.715555555555554
2021-06-14,600,P,36,39.14722222222222
2021-06-14,605,P,2,41.665
2021-06-14,607.5,P,6,43.88166666666666
2021-06-14,610,P,9,44.36
2021-06-14,612.5,P,1,46.35
2021-06-14,615,P,9,47.038888888888884
2021-06-14,617.5,P,7,47.4
2021-06-14,620,P,11,49.300909090909094
2021-06-14,622.5,P,5,51.040000000000006
2021-06-14,625,P,3,51.22666666666667
2021-06-14,630,P,2,54.17
2021-06-14,635,P,2,56.775
2021-06-14,640,P,3,59.79333333333333
2021-06-14,650,P,9,66.4811111111111
2021-06-14,660,P,3,70.07333333333334
2021-06-14,665,P,1,75.5
2021-06-14,680,P,2,85.315
2021-06-14,700,P,2,101.025
2021-06-14,710,P,1,111
2021-06-14,720,P,1,116.45
2021-06-14,740,P,1,134.25
2021-06-14,780,P,1,170.44
2021-06-14,800,P,1,185.82
2021-06-15,400,C,1,212.9
2021-06-15,450,C,1,161.63
2021-06-15,460,C,2,153.785
2021-06-15,480,C,1,134.1
2021-06-15,500,C,2,117.745
2021-06-15,520,C,1,97
2021-06-15,535,C,1,86.7
2021-06-15,540,C,3,82.86666666666667
2021-06-15,545,C,2,82.07
2021-06-15,550,C,1,75
2021-06-15,555,C,1,79.21
2021-06-15,570,C,1,64.6
2021-06-15,580,C,1,63.79
2021-06-15,585,C,2,58.41
2021-06-15,590,C,4,52.21
2021-06-15,595,C,1,48.25
2021-06-15,597.5,C,3,48.71666666666667
2021-06-15,600,C,22,47.93954545454546
2021-06-15,602.5,C,14,46.02499999999999
2021-06-15,605,C,20,45.834999999999994
2021-06-15,607.5,C,64,45.54843749999999
2021-06-15,610,C,27,44.64259259259259
2021-06-15,612.5,C,12,45.19
2021-06-15,615,C,20,43.303999999999995
2021-06-15,617.5,C,5,40.308
2021-06-15,620,C,12,39.074999999999996
2021-06-15,622.5,C,5,37.926
2021-06-15,625,C,5,36.8
2021-06-15,630,C,9,35.2988888888889
2021-06-15,635,C,2,34.025000000000006
2021-06-15,640,C,15,32.51533333333334
2021-06-15,645,C,5,30.912
2021-06-15,650,C,29,28.48172413793104
2021-06-15,655,C,5,28.366000000000003
2021-06-15,660,C,3,25.599999999999998
2021-06-15,665,C,3,24.84
2021-06-15,670,C,17,22.922941176470587
2021-06-15,680,C,11,19.500909090909094
2021-06-15,690,C,55,18.601454545454555
2021-06-15,700,C,53,15.494339622641506
2021-06-15,710,C,15,13.402
2021-06-15,720,C,61,11.253934426229506
2021-06-15,730,C,10,10.747
2021-06-15,740,C,178,8.727696629213488
2021-06-15,750,C,74,8.11743243243244
2021-06-15,760,C,11,7.533636363636365
2021-06-15,770,C,7,6.865714285714285
2021-06-15,780,C,3,5.266666666666667
