Timestamp,Price,CallPut,UnderLastTradePrice
2021-06-15 13:43:36.226,44.69,P,603.58
2021-06-15 13:53:49.094,44.66,P,603.8035
2021-06-15 13:54:27.195,44.73,P,603.88
2021-06-15 14:00:09.969,44.47,P,603.9
2021-06-15 14:42:40.369,47.21,C,601.8499
2021-06-15 14:44:39.599,47,C,601.61
2021-06-15 14:57:19.594,45.02,P,601.885
2021-06-15 15:04:31.840,46.3,P,600.95
2021-06-15 15:12:36.835,46.85,C,601.18
2021-06-15 15:22:54.510,46,P,600.22
2021-06-15 15:25:09.341,45.85,P,600.74
2021-06-15 15:26:08.645,45.87,P,600.5
2021-06-15 15:26:08.646,45.87,P,600.5
2021-06-15 15:26:56.027,45.95,P,600.3299
2021-06-15 15:27:14.052,45.83,P,600.575
2021-06-15 15:27:14.052,45.83,P,600.575
2021-06-15 15:30:37.320,47,C,600.7629
2021-06-15 15:38:30.246,46.05,P,598.96
2021-06-15 15:40:13.237,45.9,C,598.59
2021-06-15 15:46:56.624,46.6,C,600.445
2021-06-15 15:49:27.044,46.42,C,600.011
2021-06-15 15:52:50.597,46,C,598.885
2021-06-15 15:57:46.077,46.45,P,599.08
2021-06-15 15:59:05.252,46,C,599.06
2021-06-16 09:30:01.933,45.1,C,597.225
2021-06-16 09:32:56.271,46.71,C,600.2475
2021-06-16 09:33:38.255,47.9,C,602.18
2021-06-16 09:40:36.085,48,P,596.08
2021-06-16 09:43:21.554,46.25,C,599.8
2021-06-16 09:43:32.799,46.2,C,599.4066
2021-06-16 09:47:22.916,46.65,C,600.45
2021-06-16 09:47:36.691,46.4,C,600.44
2021-06-16 09:52:23.184,46.19,C,599.71
2021-06-16 09:52:48.817,45.6,C,598.895
2021-06-16 09:53:22.764,45.25,C,598.2289
2021-06-16 09:53:36.534,45.25,C,598.5
2021-06-16 09:56:44.368,44.6,C,597.11
2021-06-16 10:14:55.005,46.13,C,600.33
2021-06-16 10:19:35.991,45.05,P,601.4625
2021-06-16 10:30:00.409,45.85,C,599.215
2021-06-16 10:33:49.425,45.4,C,598.8918
2021-06-16 10:34:45.152,45.45,C,598.72
2021-06-16 10:40:21.864,45,C,598.01
2021-06-16 10:40:21.877,45,C,598.01
2021-06-16 10:52:47.061,44.11,C,596.66
2021-06-16 10:53:15.723,44.14,C,596.56
2021-06-16 10:55:40.160,44.01,C,597.17
2021-06-16 10:59:45.360,45.3,C,597.4284
2021-06-16 11:02:13.741,44.45,C,597.4
2021-06-16 11:09:30.336,47.98,P,594.475
2021-06-16 11:11:07.929,43.25,C,595
2021-06-16 11:11:07.954,42.98,C,594.99
2021-06-16 11:12:04.141,48.8,P,593.94
2021-06-16 11:14:03.303,42.77,C,594.869
2021-06-16 11:14:03.440,48.35,P,594.765
2021-06-16 11:19:32.033,43.2,C,594.91
2021-06-16 11:19:32.093,48,P,595.095
2021-06-16 11:45:50.514,44.42,C,598.3
2021-06-16 12:00:06.971,45.35,C,599.2238
2021-06-16 12:11:21.774,44.5,C,597.62
2021-06-16 12:12:22.812,44.4,C,597.7
2021-06-16 12:12:23.412,44.4,C,597.73
2021-06-16 12:22:54.586,46.64,P,596.845
2021-06-16 12:29:59.954,43.13,C,595.9068
2021-06-16 12:31:21.629,43.2,C,596.45
2021-06-16 12:36:28.530,43.65,C,596.69
2021-06-16 12:55:03.476,45.3,C,600.2
2021-06-16 12:57:44.287,44.71,P,600.696
2021-06-16 12:58:15.908,44.65,P,600.61
2021-06-16 12:58:15.933,44.71,P,600.65
2021-06-16 13:01:37.132,44.79,P,600.45
2021-06-16 13:01:37.135,44.8,P,600.45
2021-06-16 13:02:56.348,45.8,C,600.98
2021-06-16 13:06:27.631,43.55,P,603.0801
2021-06-16 13:08:29.066,46.74,C,602.5087
2021-06-16 13:11:25.904,43.55,P,602.95
2021-06-16 13:31:43.692,47.25,C,604.03
2021-06-16 13:31:58.311,43,P,604.1
2021-06-16 13:36:16.719,48.05,C,606.0531
2021-06-16 13:50:32.789,42.5,P,604.1905
2021-06-16 13:50:51.534,47,C,603.82
2021-06-16 13:55:29.708,42.5,P,604.135
2021-06-16 14:00:00.085,43.5,P,602.2
2021-06-16 14:00:07.608,44,P,601.4
2021-06-16 14:00:14.923,44.68,P,599.95
2021-06-16 14:00:14.985,44.68,P,599.62
2021-06-16 14:00:14.985,44.68,P,599.62
2021-06-16 14:00:14.992,44.7,P,599.8
2021-06-16 14:00:15.314,44.68,P,599
2021-06-16 14:01:00.263,44.61,P,599
2021-06-16 14:04:51.368,45.05,P,599.56
2021-06-16 14:15:54.299,44.5,C,597.71
2021-06-16 14:19:14.071,46.72,P,595.825
2021-06-16 14:20:08.029,42.7,C,595.945
2021-06-16 14:22:26.673,43.94,C,597.4068
2021-06-16 14:28:49.689,45,C,599.81
2021-06-16 14:30:10.187,44.54,C,598.245
2021-06-16 14:37:56.370,44.35,P,601.04
2021-06-16 14:37:57.306,44.6,P,600.38
2021-06-16 14:58:16.620,46.15,C,603.67
2021-06-16 15:06:22.268,48.82,C,606.94
2021-06-16 15:10:05.281,48.5,C,606.72
2021-06-16 15:11:37.874,49,C,607.5199
2021-06-16 15:11:39.506,41.15,P,607.54
2021-06-16 15:14:29.815,48.2,C,606.54
2021-06-16 15:26:59.806,40.87,P,607.5832
2021-06-16 15:36:46.578,41.65,P,605.87
2021-06-16 15:37:08.354,47.75,C,605.7
