TradingDate,CallPut,StrikePrice,Quantity
2021-06-14,C,350,0
2021-06-14,P,350,17
2021-06-14,C,360,0
2021-06-14,P,360,2
2021-06-14,C,370,0
2021-06-14,P,370,0
2021-06-14,C,380,0
2021-06-14,P,380,0
2021-06-14,C,390,0
2021-06-14,P,390,10
2021-06-14,C,400,0
2021-06-14,P,400,18
2021-06-14,C,410,0
2021-06-14,P,410,14
2021-06-14,C,420,0
2021-06-14,P,420,8
2021-06-14,C,430,0
2021-06-14,P,430,2
2021-06-14,C,440,0
2021-06-14,P,440,1
2021-06-14,C,450,1
2021-06-14,P,450,20
2021-06-14,C,460,0
2021-06-14,P,460,18
2021-06-14,C,470,0
2021-06-14,P,470,24
2021-06-14,C,480,0
2021-06-14,P,480,13
2021-06-14,C,490,1
2021-06-14,P,490,17
2021-06-14,C,500,3
2021-06-14,P,500,18
2021-06-14,C,510,0
2021-06-14,P,510,24
2021-06-14,C,520,20
2021-06-14,P,520,8
2021-06-14,C,530,3
2021-06-14,P,530,11
2021-06-14,C,535,0
2021-06-14,P,535,2
2021-06-14,C,540,0
2021-06-14,P,540,25
2021-06-14,C,545,1
2021-06-14,P,545,7
2021-06-14,C,550,5
2021-06-14,P,550,34
2021-06-14,C,555,0
2021-06-14,P,555,11
2021-06-14,C,560,5
2021-06-14,P,560,2
2021-06-14,C,565,1
2021-06-14,P,565,1
2021-06-14,C,570,1
2021-06-14,P,570,5
2021-06-14,C,575,1
2021-06-14,P,575,27
2021-06-14,C,577.5,1
2021-06-14,P,577.5,5
2021-06-14,C,580,1
2021-06-14,P,580,31
2021-06-14,C,582.5,0
2021-06-14,P,582.5,0
2021-06-14,C,585,0
2021-06-14,P,585,3
2021-06-14,C,587.5,0
2021-06-14,P,587.5,1
2021-06-14,C,590,0
2021-06-14,P,590,111
2021-06-14,C,592.5,0
2021-06-14,P,592.5,1
2021-06-14,C,595,0
2021-06-14,P,595,4
2021-06-14,C,597.5,0
2021-06-14,P,597.5,28
2021-06-14,C,600,6
2021-06-14,P,600,131
2021-06-14,C,602.5,0
2021-06-14,P,602.5,2
2021-06-14,C,605,14
2021-06-14,P,605,16
2021-06-14,C,607.5,3
2021-06-14,P,607.5,39
2021-06-14,C,610,14
2021-06-14,P,610,12
2021-06-14,C,612.5,1
2021-06-14,P,612.5,8
2021-06-14,C,615,4
2021-06-14,P,615,7
2021-06-14,C,617.5,3
2021-06-14,P,617.5,8
2021-06-14,C,620,4
2021-06-14,P,620,3
2021-06-14,C,622.5,2
2021-06-14,P,622.5,5
2021-06-14,C,625,162
2021-06-14,P,625,2
2021-06-14,C,630,0
2021-06-14,P,630,156
2021-06-14,C,635,5
2021-06-14,P,635,4
2021-06-14,C,640,9
2021-06-14,P,640,5
2021-06-14,C,645,4
2021-06-14,P,645,1
2021-06-14,C,650,50
2021-06-14,P,650,29
2021-06-14,C,655,5
2021-06-14,P,655,20
2021-06-14,C,660,4
2021-06-14,P,660,2
2021-06-14,C,665,9
2021-06-14,P,665,10
2021-06-14,C,670,9
2021-06-14,P,670,12
2021-06-14,C,680,58
2021-06-14,P,680,11
2021-06-14,C,690,47
2021-06-14,P,690,0
2021-06-14,C,700,196
2021-06-14,P,700,0
2021-06-14,C,710,21
2021-06-14,P,710,0
2021-06-14,C,720,16
2021-06-14,P,720,12
2021-06-14,C,730,51
2021-06-14,P,730,40
2021-06-14,C,740,71
2021-06-14,P,740,0
2021-06-14,C,750,116
2021-06-14,P,750,0
2021-06-14,C,760,98
2021-06-14,P,760,0
2021-06-14,C,770,79
2021-06-14,P,770,0
2021-06-14,C,780,35
2021-06-14,P,780,0
2021-06-14,C,790,108
2021-06-14,P,790,0
2021-06-14,C,800,49
2021-06-14,P,800,0
2021-06-14,C,810,2
2021-06-14,P,810,0
2021-06-14,C,820,7
2021-06-14,P,820,0
2021-06-14,C,830,2
2021-06-14,P,830,0
2021-06-14,C,840,3
2021-06-14,P,840,0
2021-06-14,C,850,20
2021-06-14,P,850,0
2021-06-14,C,860,0
2021-06-14,P,860,0
2021-06-14,C,870,0
2021-06-14,P,870,0
2021-06-14,C,880,10
2021-06-14,P,880,0
